Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/token,30753,0,19,55.00762471632334,3.112300008069724,704.2117999808397,466.0,343.97817218620355,0.0,19,28,43,65,180,250,340,410,670,700,700
,Aggregated,30753,0,19,55.00762471632334,3.112300008069724,704.2117999808397,466.0,343.97817218620355,0.0,19,28,43,65,180,250,340,410,670,700,700
