Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/realms/test-realm/protocol/openid-connect/token,109898,0,420,485.59874468596166,4.62270004209131,4258.855400024913,2457.0,921.4900528596864,0.0,420,710,850,900,1000,1100,1300,1500,3200,3900,4300
,Aggregated,109898,0,420,485.59874468596166,4.62270004209131,4258.855400024913,2457.0,921.4900528596864,0.0,420,710,850,900,1000,1100,1300,1500,3200,3900,4300
