Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/token,117161,0,280,385.6343788667405,3.291499975603074,2308.1396999768913,466.0,981.0747127803778,0.0,280,550,690,760,890,1000,1200,1300,1500,2000,2300
,Aggregated,117161,0,280,385.6343788667405,3.291499975603074,2308.1396999768913,466.0,981.0747127803778,0.0,280,550,690,760,890,1000,1200,1300,1500,2000,2300
