Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/token,72974,0,1600,1482.6441463973872,3.122499998426065,11277.87730001728,466.0,607.1894308193506,0.0,1600,1700,1800,1900,2000,2200,4100,5900,10000,11000,11000
,Aggregated,72974,0,1600,1482.6441463973872,3.122499998426065,11277.87730001728,466.0,607.1894308193506,0.0,1600,1700,1800,1900,2000,2200,4100,5900,10000,11000,11000
