Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/application/o/token/,420,0,6900,9148.069251189077,316.4659999893047,37266.654200007906,3732.0,7.102831177131886,0.0,7000,10000,13000,14000,21000,26000,30000,36000,37000,37000,37000
,Aggregated,420,0,6900,9148.069251189077,316.4659999893047,37266.654200007906,3732.0,7.102831177131886,0.0,7000,10000,13000,14000,21000,26000,30000,36000,37000,37000,37000
