Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/token,4392,0,5,5.963711612379176,3.1919000030029565,46.29770002793521,466.0,74.10792978946509,0.0,5,6,6,7,8,9,17,21,43,46,46
,Aggregated,4392,0,5,5.963711612379176,3.1919000030029565,46.29770002793521,466.0,74.10792978946509,0.0,5,6,6,7,8,9,17,21,43,46,46
