Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/application/o/token/,429,0,7000,8685.887101165232,577.7375999896321,37042.6976000017,3732.0,7.493691328502149,0.0,7000,10000,13000,14000,20000,22000,26000,32000,37000,37000,37000
,Aggregated,429,0,7000,8685.887101165232,577.7375999896321,37042.6976000017,3732.0,7.493691328502149,0.0,7000,10000,13000,14000,20000,22000,26000,32000,37000,37000,37000
