Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/realms/test-realm/protocol/openid-connect/token,111246,0,400,460.1116365586401,4.855900013353676,6086.358100001235,2457.0,930.2939394661926,0.0,400,680,800,860,980,1100,1200,1300,2700,5900,6100
,Aggregated,111246,0,400,460.1116365586401,4.855900013353676,6086.358100001235,2457.0,930.2939394661926,0.0,400,680,800,860,980,1100,1200,1300,2700,5900,6100
